Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,6.950000,6.950000,6.720000,6.730000,6.564498,7797500
2018-02-09,6.710000,6.780000,6.510000,6.760000,6.593761,14570900
2018-02-12,6.790000,6.910000,6.790000,6.880000,6.710810,9886300
2018-02-13,6.780000,6.810000,6.750000,6.800000,6.632777,5265400
2018-02-14,6.690000,6.930000,6.690000,6.920000,6.749826,7201800
2018-02-15,6.940000,6.940000,6.850000,6.920000,6.749826,4660600
2018-02-16,6.940000,7.020000,6.940000,6.980000,6.808351,8275800
2018-02-20,6.980000,7.020000,6.970000,6.990000,6.818105,8041400
2018-02-21,6.980000,7.030000,6.900000,6.920000,6.749826,9719800
2018-02-22,6.970000,7.020000,6.930000,6.950000,6.779088,37092900
2018-02-23,6.950000,7.040000,6.940000,7.030000,6.857121,20358400
2018-02-26,7.000000,7.100000,6.990000,7.080000,6.905891,14094500
2018-02-27,7.060000,7.080000,7.000000,7.000000,6.827859,9538200
2018-02-28,7.010000,7.020000,6.870000,6.870000,6.701056,4866300
2018-03-01,6.850000,6.890000,6.740000,6.810000,6.642531,7382000
2018-03-02,6.780000,6.830000,6.730000,6.830000,6.662039,5887600
2018-03-05,6.760000,6.830000,6.720000,6.810000,6.642531,7236000
2018-03-06,6.850000,6.870000,6.790000,6.830000,6.662039,6311100
2018-03-07,6.770000,6.840000,6.750000,6.820000,6.652286,5201500
2018-03-08,6.820000,6.860000,6.730000,6.770000,6.603515,5259400
2018-03-09,6.750000,6.800000,6.720000,6.780000,6.613269,6180300
2018-03-12,6.760000,6.790000,6.750000,6.770000,6.603515,5558600
2018-03-13,6.800000,6.830000,6.710000,6.730000,6.564498,4670700
2018-03-14,6.720000,6.720000,6.610000,6.620000,6.457203,6515600
2018-03-15,6.590000,6.610000,6.560000,6.570000,6.408433,6018700
2018-03-16,6.690000,6.740000,6.660000,6.670000,6.505974,4496000
2018-03-19,6.700000,6.700000,6.570000,6.640000,6.476712,6327300
2018-03-20,6.600000,6.640000,6.580000,6.620000,6.457203,14446300
2018-03-21,6.560000,6.620000,6.510000,6.560000,6.398679,7242000
2018-03-22,6.430000,6.440000,6.330000,6.350000,6.193843,14786100
2018-03-23,6.410000,6.450000,6.330000,6.340000,6.184089,12380300
2018-03-26,6.540000,6.560000,6.470000,6.560000,6.398679,8544500
2018-03-27,6.530000,6.570000,6.410000,6.440000,6.281631,9801700
2018-03-28,6.440000,6.530000,6.410000,6.470000,6.310892,10818800
2018-03-29,6.560000,6.590000,6.520000,6.550000,6.388925,6642600
2018-04-02,6.550000,6.550000,6.390000,6.430000,6.271876,5460300
2018-04-03,6.440000,6.480000,6.400000,6.460000,6.301138,5431500
2018-04-04,6.350000,6.460000,6.350000,6.460000,6.301138,6831100
2018-04-05,6.580000,6.640000,6.550000,6.600000,6.437696,7190000
2018-04-06,6.600000,6.610000,6.500000,6.520000,6.359663,6153300
2018-04-09,6.600000,6.650000,6.550000,6.550000,6.388925,6144300
2018-04-10,6.630000,6.660000,6.590000,6.630000,6.466958,11099800
2018-04-11,6.620000,6.640000,6.580000,6.580000,6.418187,3316600
2018-04-12,6.600000,6.640000,6.590000,6.600000,6.437696,3655600
2018-04-13,6.740000,6.740000,6.590000,6.610000,6.447450,8224000
2018-04-16,6.670000,6.720000,6.660000,6.710000,6.544991,6420600
2018-04-17,6.700000,6.710000,6.660000,6.680000,6.515728,3771000
2018-04-18,6.780000,6.800000,6.740000,6.760000,6.593761,6027000
2018-04-19,6.780000,6.810000,6.760000,6.800000,6.632777,5513900
2018-04-20,6.780000,6.790000,6.740000,6.780000,6.613269,3243700
2018-04-23,6.780000,6.820000,6.760000,6.790000,6.623023,3546100
2018-04-24,6.580000,6.610000,6.520000,6.540000,6.379171,8475800
2018-04-25,6.510000,6.590000,6.480000,6.570000,6.408433,4842000
2018-04-26,6.550000,6.550000,6.480000,6.510000,6.349909,3205100
2018-04-27,6.500000,6.550000,6.480000,6.530000,6.369417,4449000
2018-04-30,6.540000,6.570000,6.520000,6.520000,6.359663,2444700
2018-05-01,6.510000,6.510000,6.400000,6.460000,6.301138,3660000
2018-05-02,6.480000,6.500000,6.440000,6.450000,6.363616,3070400
2018-05-03,6.400000,6.430000,6.360000,6.390000,6.304420,4231500
2018-05-04,6.340000,6.460000,6.330000,6.440000,6.353750,2999200
2018-05-07,6.420000,6.440000,6.390000,6.390000,6.304420,3033500
2018-05-08,6.360000,6.390000,6.340000,6.370000,6.284688,3729700
2018-05-09,6.440000,6.500000,6.420000,6.490000,6.403080,3103000
2018-05-10,6.500000,6.560000,6.480000,6.550000,6.462277,3318900
2018-05-11,6.600000,6.620000,6.570000,6.580000,6.491875,3580200
2018-05-14,6.600000,6.600000,6.550000,6.570000,6.482009,3601300
2018-05-15,6.470000,6.510000,6.430000,6.480000,6.393214,4046300
2018-05-16,6.340000,6.370000,6.270000,6.310000,6.225491,8611100
2018-05-17,6.310000,6.330000,6.290000,6.300000,6.215625,3058100
2018-05-18,6.170000,6.180000,6.110000,6.130000,6.047902,5915400
2018-05-21,6.100000,6.110000,6.070000,6.080000,5.998571,4533000
2018-05-22,6.210000,6.210000,6.170000,6.190000,6.107098,9819800
2018-05-23,6.040000,6.070000,6.000000,6.060000,5.978839,8163600
2018-05-24,6.030000,6.050000,5.970000,6.010000,5.929509,4506300
2018-05-25,5.780000,5.840000,5.740000,5.840000,5.761786,8532400
2018-05-29,5.350000,5.430000,5.250000,5.310000,5.238884,28295000
2018-05-30,5.440000,5.510000,5.400000,5.470000,5.396741,12193100
2018-05-31,5.420000,5.470000,5.310000,5.460000,5.386875,16064100
2018-06-01,5.570000,5.620000,5.510000,5.570000,5.495402,15058600
2018-06-04,5.620000,5.640000,5.580000,5.600000,5.525000,7675000
2018-06-05,5.580000,5.580000,5.480000,5.510000,5.436205,6843400
2018-06-06,5.560000,5.670000,5.540000,5.670000,5.594062,7823600
2018-06-07,5.660000,5.680000,5.560000,5.590000,5.515134,8100000
2018-06-08,5.550000,5.560000,5.500000,5.550000,5.475670,7065200
2018-06-11,5.620000,5.740000,5.610000,5.730000,5.653259,12361800
2018-06-12,5.720000,5.730000,5.630000,5.640000,5.564464,6325700
2018-06-13,5.640000,5.670000,5.590000,5.630000,5.554598,8092700
2018-06-14,5.580000,5.610000,5.550000,5.560000,5.485536,6791900
2018-06-15,5.400000,5.490000,5.390000,5.450000,5.377009,10949800
2018-06-18,5.400000,5.440000,5.380000,5.430000,5.357276,6893100
2018-06-19,5.390000,5.440000,5.350000,5.430000,5.357276,6209900
2018-06-20,5.540000,5.560000,5.480000,5.490000,5.416473,6249100
2018-06-21,5.470000,5.500000,5.400000,5.460000,5.386875,8588100
2018-06-22,5.540000,5.550000,5.480000,5.490000,5.416473,7691600
2018-06-25,5.430000,5.450000,5.370000,5.420000,5.347411,6388100
2018-06-26,5.420000,5.430000,5.370000,5.410000,5.337544,5437300
2018-06-27,5.330000,5.390000,5.260000,5.270000,5.199419,9503400
2018-06-28,5.310000,5.340000,5.280000,5.320000,5.248750,6848700
